Amphi,Position,Latitude,Longitude,Accuracy_m,Altitude_m
2,3,36.6883521,2.8664955,8.4,176.8
2,3,36.6883521,2.8664944,8.5,176.8
2,3,36.6883521,2.8664939,8.5,177.1
2,3,36.6883554,2.8664937,8.8,176.8
2,3,36.688352,2.8664922,8.0,176.8
2,3,36.6883496,2.8664926,7.9,176.8
2,3,36.6883477,2.8664944,7.8,177.1
2,3,36.6883478,2.8664955,8.5,177.1
2,3,36.6883478,2.8664979,8.4,177.1
2,3,36.6883461,2.8664977,7.9,177.1
2,3,36.6883458,2.8664981,7.9,177.1
2,3,36.688345,2.8664979,7.8,177.4
2,3,36.6883435,2.8664961,7.0,177.1
2,3,36.6883433,2.8664969,6.6,177.1
2,3,36.6883433,2.8664967,6.3,177.1
2,3,36.6883433,2.8664966,6.2,177.1
2,3,36.6883418,2.8664959,5.9,176.8
2,3,36.6883415,2.8664956,5.9,176.8
2,3,36.6883414,2.8664952,6.3,177.1
3,1,36.6883368,2.8662018,30.9,181.2
3,1,36.6883379,2.8662072,31.3,181.2
3,1,36.6883431,2.866208,31.0,181.2
3,1,36.6883464,2.8662088,30.7,175.6
3,1,36.6883601,2.866093,27.1,175.6
3,1,36.688369,2.8660125,20.8,181.3
3,1,36.6883562,2.8660462,19.2,181.3
3,1,36.6883502,2.8660604,18.0,176.4
3,1,36.6883496,2.8660825,17.5,181.2
3,1,36.6883434,2.8661462,10.0,181.2
3,1,36.688343,2.8661589,10.0,181.3
3,1,36.6883422,2.8661602,9.9,181.3
3,1,36.68834,2.8661626,9.8,181.2
3,1,36.6883392,2.8661635,9.8,181.2
3,1,36.6883388,2.866162,9.8,181.2
3,1,36.6883402,2.8661597,9.8,176.7
3,1,36.6883401,2.8661617,9.6,177.1
3,1,36.688333,2.8661675,9.4,177.1
3,1,36.6883294,2.8661705,9.2,177.1
3,1,36.688329,2.8661708,9.2,176.8
3,1,36.6883314,2.8661859,9.0,175.6
3,1,36.6883285,2.8661876,9.3,181.2
3,1,36.6883244,2.8661942,9.0,181.2
